# m1_source	m2_source	ecc
3.559930231842647430e+01	2.368214460438435864e+01	6.044398948629192692e-02
3.884618841560637037e+01	2.345297021202017618e+01	9.367558924818053523e-02
3.519443387501861054e+01	2.455214678383828897e+01	4.282068529746291263e-02
3.906327378329916655e+01	3.770583285997312828e+01	5.386270605844069304e-02
3.952631583842648411e+01	3.842598959303130357e+01	1.493059246711332493e-02
4.902271449103799483e+01	3.966829137309952813e+01	2.360714259197550791e-02
4.762150973686525646e+01	4.363057469328504112e+01	4.473269465573805059e-02
4.743861456120049525e+01	4.523403445182710669e+01	3.449980902332652061e-02
2.741601211385005499e+01	2.331434188527650520e+01	2.182439330426340016e-02
4.021999225975042691e+01	3.752098870930309715e+01	3.272359741703969455e-02
4.427962195995628036e+01	3.699358122290389161e+01	1.913088867961187933e-02
3.810432313614508359e+01	1.548216519643344213e+01	3.871388822188704532e-02
3.818783243175358422e+01	2.656919211022905714e+01	7.342614516356939236e-02
4.976456426060209282e+01	2.744245437771334295e+01	4.456450151694163996e-03
4.443664005225048896e+01	4.408916976786092334e+01	9.475560859620944798e-03
4.482982114420241260e+01	1.829431481410279758e+01	1.806391518681654124e-02
4.569890861477485089e+01	3.177873754422055796e+01	8.433436215153795878e-02
3.412278863344793933e+01	1.713996205644046000e+01	1.118894358570340919e-02
3.686237000110998707e+01	3.325088908979861912e+01	7.623983295844972974e-02
4.947308912878627751e+01	4.183059081381522049e+01	1.664171455631439575e-02
4.738343034641298601e+01	2.831618398217319665e+01	9.771908015457858587e-02
3.782154884523004057e+01	3.330352673314003198e+01	1.759628613332248764e-02
4.095132563497052303e+01	2.085446793888810646e+01	7.975749102075246899e-02
3.742824001690106428e+01	2.684559778724815970e+01	2.031633151903720902e-02
3.941186021212808299e+01	3.616486076120996529e+01	8.151371566531734640e-04
4.893164722491202667e+01	2.148388647050809652e+01	5.979158145500375332e-02
4.910176549434748239e+01	3.386122700733466218e+01	9.043857920673177217e-03
