# m1_source	m2_source	ecc
4.948813801933150103e+01	3.068031930082708314e+01	5.980812283411157670e-03
4.355965779392888493e+01	2.222167660710941917e+01	4.061465605542988883e-02
4.068113894914670681e+01	2.574415724464909516e+01	2.528997075254874050e-02
4.868309021804598302e+01	4.298791667940831474e+01	1.910195621825860890e-01
3.353214028936615421e+01	1.953564909671558070e+01	5.200914294438130359e-02
4.832107657974165704e+01	2.329659112297621704e+01	3.875429243157196835e-02
4.466721412862712981e+01	2.723716200416780353e+01	1.691899558577385498e-01
4.576987231484552865e+01	3.287827364543359465e+01	1.495806849733026522e-01
2.633670032041478493e+01	1.905969171716826693e+01	1.194583201486764876e-02
4.417874166437751171e+01	2.187100353697311306e+01	1.432897668926841894e-01
4.686652701642134389e+01	4.224164464093141191e+01	1.368966776873824578e-02
4.502272686053337480e+01	4.431339344295697913e+01	1.957714818806489399e-01
4.985105301202519712e+01	4.951247451726165849e+01	1.128847932777897745e-01
4.933141039313116494e+01	4.605553849373617226e+01	1.983842828218675969e-01
4.807603283627513946e+01	4.360224812913170922e+01	2.075153011624138177e-02
4.241168032072144456e+01	3.982242371397958891e+01	1.888586440890188123e-01
4.674366529601562092e+01	4.670127438452545476e+01	9.654522994912514977e-02
3.175932245934640363e+01	2.423347300710943131e+01	8.589620603112579911e-02
4.839971410651499895e+01	4.537727009112379051e+01	6.543026481473306066e-02
4.235752009257768691e+01	2.963066333806492025e+01	1.138356686733330708e-02
4.156439850669334390e+01	3.421485449370214127e+01	1.427768801844603030e-01
4.662229206666611248e+01	2.963636598546016998e+01	7.887343280650346844e-02
1.523799260972417713e+01	1.013665862965057407e+01	1.019901248904831470e-01
2.762919411121765023e+01	2.042720296867517860e+01	4.849043774397972240e-02
4.270791696887965827e+01	1.142236352594384741e+01	4.360824679330260745e-02
3.622788487986925787e+01	2.914391580690389105e+01	1.139385048335796874e-01
4.674347558747675890e+01	2.417658619285029431e+01	1.313404488640516343e-01
3.980812716635436033e+01	2.617800807546073472e+01	1.639824599355003687e-01
4.538253727792111647e+01	4.073282212764914334e+01	1.804764516852906675e-01
4.914364786717660394e+01	4.707517296554317454e+01	1.570837592680724981e-01
4.586575390914371297e+01	2.216290958781359066e+01	3.172878522573419763e-02
4.494418408604874315e+01	2.704310610178300678e+01	7.299017040190106109e-02
3.439362639420900791e+01	3.154567938404406746e+01	1.869531330913102030e-01
4.234354158470020479e+01	2.856602298369340787e+01	1.174052817319748854e-03
3.724076037472134004e+01	3.257102702698208674e+01	4.063657650085924361e-02
2.127801621282385369e+01	1.189330118835851735e+01	1.847563395790633167e-01
4.918660996005658603e+01	3.919294327409976120e+01	9.202234051852897084e-03
3.847645432856935344e+01	3.245291141530373125e+01	1.447141329179565949e-01
4.589347775693069309e+01	4.311179102424108578e+01	1.610974333408947412e-02
