# m1_source	m2_source	ecc
4.846969975249411533e+01	4.617616942246224454e+01	3.812228938006219370e-02
4.941141879814934867e+01	4.399155416980855904e+01	1.998385272742668126e-02
4.583650853401460523e+01	4.475756119164435631e+01	3.272683730983307060e-02
3.669227832103467080e+01	2.947096600143236955e+01	1.406501661898963175e-02
3.955878169224296670e+01	3.184254091154531707e+01	4.235870586767057772e-02
3.025273956714574908e+01	1.678870337554651471e+01	2.897648370773618642e-02
4.737601207431590211e+01	2.504558089158791034e+01	1.704415982930547859e-03
1.852998791133775214e+01	1.665999901196629196e+01	1.788254462009127715e-02
3.916916308502585053e+01	3.899297419181404223e+01	9.483546183588417722e-03
4.730767455764546270e+01	3.605297212801593787e+01	1.441801175461625978e-02
4.216076643991098649e+01	3.964849763503715963e+01	2.657949940038617509e-02
4.734154275752442942e+01	2.324166678226249516e+01	1.151967351165915539e-02
4.564389684535545655e+01	3.374590546099497601e+01	2.980834311422963026e-02
3.351771164780312517e+01	3.282600279894495543e+01	2.550833982700172545e-02
4.193514813289382204e+01	3.843907049694843892e+01	2.465869139476585536e-02
3.753163342256267043e+01	2.853224814197904635e+01	3.164321182913634040e-02
3.828132606457712939e+01	2.691083420360783407e+01	4.522677568354852018e-02
4.988657917481396709e+01	4.051482178018671476e+01	3.828126638017072259e-02
3.989973962729157364e+01	2.293950077645039443e+01	4.859863099666737740e-02
4.497101917760335255e+01	2.628360654023331833e+01	5.687686972963467563e-03
3.231443440114906451e+01	2.518709057483410874e+01	3.308966067670904287e-02
4.106568318104999804e+01	2.874638768161320357e+01	5.202480070330589221e-03
3.560031286292386454e+01	2.971575284904693248e+01	1.446448012399438425e-02
3.341374090964426102e+01	2.759052192640542955e+01	2.219834249527243009e-02
4.814873510222047059e+01	2.824374926448016510e+01	4.690957735764134107e-02
